videoID,start,end,Category,classification-llm-output,match
1yXPxaO9Xcs,1:16,1:22,empathetic,neutral,near-miss
1yXPxaO9Xcs,11:02,11:05,empathetic,neutral,near-miss
2-IXhfmO0ok,1:00,1:03,,neutral,miss
2-IXhfmO0ok,1:27,1:30,,neutral,miss
2-IXhfmO0ok,1:37,1:39,,neutral,miss
3_dAkDsBQyk,0:54,0:56,anti-empathetic,neutral,near-miss
3_dAkDsBQyk,1:01,1:04,anti-empathetic,neutral,near-miss
3muGuDL1qaM,0:50,1:07,empathetic,empathetic,hit
3muGuDL1qaM,2:09,2:21,empathetic,empathetic,hit
3muGuDL1qaM,2:55,3:30,empathetic,empathetic,hit
4HrOmh_rTcU,1:03,1:15,empathetic,anti-empathetic,miss
4Jl6zk4csA8,1:15,1:25,empathetic,empathetic,hit
4Jl6zk4csA8,2:24,2:34,empathetic,neutral,near-miss
4Jl6zk4csA8,2:34,2:51,empathetic,neutral,near-miss
4VOubVB4CTU,1:21,1:30,empathetic,empathetic,hit
4ZnQdxpZteM,2:32,2:44,empathetic,anti-empathetic,miss
2-IXhfmO0ok,2:23,2:40,,empathetic,miss
3_dAkDsBQyk,1:22,1:25,anti-empathetic,neutral,near-miss
3_dAkDsBQyk,1:42,1:46,anti-empathetic,anti-empathetic,hit
3muGuDL1qaM,1:07,1:15,empathetic,empathetic,hit
3muGuDL1qaM,1:19,1:35,empathetic,empathetic,hit
4HrOmh_rTcU,0:28,0:42,empathetic,empathetic,hit
4HrOmh_rTcU,0:42,0:53,empathetic,empathetic,hit
4Jl6zk4csA8,2:51,3:14,empathetic,empathetic,hit
4VOubVB4CTU,1:05,1:12,empathetic,anti-empathetic,miss
4VOubVB4CTU,1:14,1:18,empathetic,neutral,near-miss
4ZnQdxpZteM,2:57,3:03,empathetic,empathetic,hit
4ZnQdxpZteM,5:29,5:42,empathetic,neutral,near-miss
4wTVbzvBH0k,0:20,0:31,empathetic,empathetic,hit
4wTVbzvBH0k,0:47,0:53,empathetic,empathetic,hit
4wTVbzvBH0k,9:23,9:33,empathetic,empathetic,hit
54lhYj83zro,0:25,0:31,empathetic,neutral,near-miss
54lhYj83zro,1:59,2:03,empathetic,empathetic,hit
54lhYj83zro,2:04,2:20,empathetic,empathetic,hit
54lhYj83zro,2:21,2:30,empathetic,empathetic,hit
54lhYj83zro,2:30,2:53,empathetic,empathetic,hit
5JL2iizK2c0,2:43,2:51,empathetic,empathetic,hit
5q0gEn9mysE,3:52,3:59,empathetic,empathetic,hit
5qArvBdHkJA,2:06,2:11,anti-empathetic,anti-empathetic,hit
7jrulgnbMHc,39:42,39:52,empathetic,neutral,near-miss
C0KLb_v50-k,0:48,0:51,empathetic,neutral,near-miss
CSwSxWbX5UE,0:13,0:29,anti-empathetic,anti-empathetic,hit
CSwSxWbX5UE,2:34,2:48,anti-empathetic,anti-empathetic,hit
Cu5F2Z9mKmo,0:00,0:25,anti-empathetic,anti-empathetic,hit
Cu5F2Z9mKmo,0:33,0:34,anti-empathetic,neutral,near-miss
Cu5F2Z9mKmo,0:40,0:43,anti-empathetic,neutral,near-miss
Cu5F2Z9mKmo,0:48,0:51,anti-empathetic,neutral,near-miss
Cu5F2Z9mKmo,0:59,1:02,anti-empathetic,neutral,near-miss
Cu5F2Z9mKmo,1:18,1:20,anti-empathetic,neutral,near-miss
Cu5F2Z9mKmo,1:43,1:45,anti-empathetic,neutral,near-miss
Cu5F2Z9mKmo,2:22,2:35,anti-empathetic,anti-empathetic,hit
DuSdiAwkkrg,0:14,0:26,empathetic,empathetic,hit
DuSdiAwkkrg,0:27,0:36,empathetic,empathetic,hit
DuSdiAwkkrg,1:43,1:53,empathetic,empathetic,hit
ELC_e2QBQMk,21:12,21:32,empathetic,empathetic,hit
ELC_e2QBQMk,22:17,22:30,empathetic,neutral,near-miss
EaD3ka3KnfQ,0:36,0:56,empathetic,empathetic,hit
EcYzT0OxqVA,2:15,2:35,,neutral,miss
EcYzT0OxqVA,3:53,3:57,,neutral,miss
EmJWrU73A18,1:07,1:10,empathetic,empathetic,hit
EmJWrU73A18,2:17,2:22,empathetic,neutral,near-miss
Eupw-yTBkQI,2:40,2:44,empathetic,neutral,near-miss
Eupw-yTBkQI,9:14,9:25,empathetic,empathetic,hit
G0yU-YJ6sjY,1:25,1:29,anti-empathetic,empathetic,miss
GQhw9teSyKc,0:34,0:43,empathetic,empathetic,hit
